BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,found/all,depleted resources,depleted/found,max [dist-hive-max] of turtles
33,"""sparse""","""0.4""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.408967718,4,5.819,0.027981228,201380.9,34607.47551,11.53582517,TRUE,FALSE,185.638,1994.224,99,73,26,0.262626263,9,0.346153846,852.2219623
34,"""sparse""","""0.4""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.41249968,5,5.819,0.07259925,522496.8,89791.51057,29.93050352,TRUE,FALSE,208.779,2038.875,119,88,31,0.260504202,9,0.290322581,841.767739
35,"""sparse""","""0.4""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.419442849,16,5.819,0.02530138,182094.03,31293.01083,10.43100361,TRUE,FALSE,203.45,1928.774,93,73,20,0.215053763,6,0.3,804.4672735
36,"""sparse""","""0.4""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.42326614,2,5.819,0.144650417,1041049.05,178905.1469,59.63504898,TRUE,FALSE,185.425,1995.2,108,72,36,0.333333333,11,0.305555556,821.4468383
37,"""sparse""","""0.4""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.424580781,20,5.819,0.083281844,599379.43,103003.8546,34.3346182,TRUE,FALSE,193.887,2033.26,112,84,28,0.25,10,0.357142857,832.5466134
38,"""sparse""","""0.4""",FALSE,3000,8,-750,750,-750,750,2400,3000,FALSE,0.406597014,17,5.819,1.351141387,9724164.56,1671105.784,557.0352615,TRUE,FALSE,210.588,1907.172,110,72,38,0.345454545,17,0.447368421,987.6240148
39,"""sparse""","""0.4""",FALSE,3000,9,-750,750,-750,750,2400,3000,FALSE,0.379322691,16,5.819,0.291999867,2101523.04,361148.486,120.3828287,TRUE,FALSE,209.938,1990.909,94,68,26,0.276595745,10,0.384615385,943.2274337
40,"""sparse""","""0.4""",FALSE,3000,10,-750,750,-750,750,2400,3000,FALSE,0.394853905,1,5.819,0.394617266,2840060.46,488066.7572,162.6889191,TRUE,FALSE,190.719,1866.063,102,75,27,0.264705882,12,0.444444444,860.5699656
41,"""sparse""","""0.6""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.600848521,3,5.819,0.075592722,90673.47,15582.31139,31.16462279,FALSE,TRUE,87.506,1473.306,100,86,14,0.14,3,0.214285714,844.3755832
42,"""sparse""","""0.6""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.590020181,3,5.819,0.18233243,218707.75,37585.10913,75.17021825,FALSE,TRUE,88.991,1406.78,101,80,21,0.207920792,7,0.333333333,715.4925976
