BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2016 14:38:27:510 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,energy.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
35,"""dense""","""0.4""",,FALSE,3000,5,0.423501032,1,10.34772272,7.45E+07,24824.19,TRUE,FALSE,213.115,2082.335,3186,2862,324,144,590.2245335,9609,0,0,0.00,1.55E+07,1956,7908.07
36,"""dense""","""0.4""",,FALSE,3000,6,0.411615206,1,12.37208383,8.90E+07,29680.63,TRUE,FALSE,213.512,2090.109,3256,2925,331,136,511.7694794,9224,0,0,0.00,1.87E+07,1830,10218.56
37,"""dense""","""0.4""",,FALSE,3000,7,0.413504289,2,17.52223322,1.26E+08,42035.84,TRUE,FALSE,215.203,2064.755,3111,2785,326,138,586.2969545,9014,0,0,0.00,2.15E+07,1770,12143.68
38,"""dense""","""0.4""",,FALSE,3000,8,0.402717704,1,27.95377988,2.01E+08,67061.12,TRUE,FALSE,215.152,2063.457,3178,2868,310,139,435.2322319,9069,0,0,0.00,3.82E+07,1917,19930.80
39,"""dense""","""0.4""",,FALSE,3000,9,0.38782143,1,11.1023064,7.99E+07,26634.43,TRUE,FALSE,211.437,2020.52,3241,2924,317,147,563.7131107,9547,0,0,0.00,1.70E+07,1999,8496.97
40,"""dense""","""0.4""",,FALSE,3000,10,0.427627188,1,8.199961034,5.90E+07,19671.71,TRUE,FALSE,206.714,2006.661,3135,2836,299,128,463.366852,8884,0,0,0.00,1.08E+07,1634,6591.53
41,"""dense""","""0.6""",,TRUE,500,1,0.610418758,1,10.6912612,1.28E+07,25648.34,FALSE,TRUE,49.608,1405.352,3253,3057,196,85,378.9339079,5473,1.20E+07,5016,2398.21,2506051.26,841,2979.85
42,"""dense""","""0.6""",,TRUE,500,2,0.59627053,1,12.72777473,1.53E+07,30533.93,FALSE,TRUE,51.285,1409.634,3143,2950,193,78,381.1301826,5355,1.44E+07,4872,2961.15,2468685.12,822,3003.27
43,"""dense""","""0.6""",,TRUE,500,3,0.594478956,1,18.87158565,2.26E+07,45272.93,FALSE,TRUE,52.634,1417.54,3161,2955,206,77,368.4901627,5316,2.13E+07,4750,4485.36,4916741.63,844,5825.52
44,"""dense""","""0.6""",,TRUE,500,4,0.589466781,1,20.9105435,2.51E+07,50164.39,FALSE,TRUE,52.83,1419.981,3237,3027,210,98,363.6755201,6095,2.36E+07,5515,4277.79,5660136.13,1014,5581.99
