BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/10/2016 16:26:46:161 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
80,"""dense""","""0.6""",FALSE,3000,10,TRUE,-750,750,-750,750,2400,0.615829469,1,0.197835654,1423823.2,TRUE,FALSE,208.978,2071.865,3172,2852,320,149,419.8496502,9802,0,0,269671.09,1882
81,"""dense""","""0.8""",TRUE,500,1,TRUE,-750,750,-750,750,2400,0.806698545,2,0.55517544,665932.94,FALSE,TRUE,104.381,1509.84,3255,3100,155,56,343.6088749,4053,590018.14,3583,88541.88,551
82,"""dense""","""0.8""",TRUE,500,2,TRUE,-750,750,-750,750,2400,0.802298582,1,0.527194198,632369.44,FALSE,TRUE,71.683,1464.627,3127,2975,152,52,316.2203214,3775,557531.16,3317,85737.33,549
83,"""dense""","""0.8""",TRUE,500,3,TRUE,-750,750,-750,750,2400,0.775902382,1,0.502226036,602420.13,FALSE,TRUE,63.616,1470.033,3293,3134,159,56,366.0054644,4200,535990.2,3741,77026.42,553
84,"""dense""","""0.8""",TRUE,500,4,TRUE,-750,750,-750,750,2400,0.80212431,1,0.559526569,671152.12,FALSE,TRUE,65.984,1464.889,3231,3053,178,64,389.185046,4315,601708.19,3848,96647.81,651
85,"""dense""","""0.8""",TRUE,500,5,TRUE,-750,750,-750,750,2400,0.77182884,1,0.518259391,621652.14,FALSE,TRUE,70.497,1491.116,3194,3035,159,49,335.3863444,3906,549129.62,3400,71806.71,468
86,"""dense""","""0.8""",TRUE,500,6,TRUE,-750,750,-750,750,2400,0.786175412,1,0.471683376,565784.21,FALSE,TRUE,68.219,1495.999,3251,3103,148,54,301.3469761,3640,498714.04,3160,67215.6,499
87,"""dense""","""0.8""",TRUE,500,7,TRUE,-750,750,-750,750,2400,0.778566654,1,0.516375707,619392.66,FALSE,TRUE,65.347,1471.164,3234,3079,155,51,313.2491968,3906,547783.95,3439,71259.52,462
88,"""dense""","""0.8""",TRUE,500,8,TRUE,-750,750,-750,750,2400,0.817159341,1,0.557941559,669250.9,FALSE,TRUE,65.346,1468.789,3149,2987,162,65,364.6243012,4352,595745.18,3854,90404.34,596
89,"""dense""","""0.8""",TRUE,500,9,TRUE,-750,750,-750,750,2400,0.808955958,1,0.46504476,557821.19,FALSE,TRUE,69.778,1561.902,3186,3041,145,55,425.2915367,3843,490896.82,3380,65591.88,483
