BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2016 14:36:41:335 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-100,100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,nectar.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
82,"""dense""","""0.8""",,TRUE,500,2,0.779439603,1,0.071317216,85545,171.09,FALSE,TRUE,62.904,1416.983,3276,3146,130,43,298.7472862,3556,76078,3119,24.39,8892,393,22.63
83,"""dense""","""0.8""",,TRUE,500,3,0.806564235,1,0.065978324,79141,158.28,FALSE,TRUE,63.995,1410.949,3158,3015,143,37,324.7119856,3089,70716,2715,26.05,9612,404,23.79
84,"""dense""","""0.8""",,TRUE,500,4,0.794273236,1,0.086547728,103814,207.63,FALSE,TRUE,70.428,1420.289,3204,3054,150,55,320.6732888,3781,93209,3364,27.71,14082,553,25.46
85,"""dense""","""0.8""",,TRUE,500,5,0.805254529,1,0.092731972,111232,222.46,FALSE,TRUE,63.022,1407.971,3188,3027,161,52,339.1084167,3891,101531,3522,28.83,13149,479,27.45
86,"""dense""","""0.8""",,TRUE,500,6,0.795916362,1,0.093101292,111675,223.35,FALSE,TRUE,63.162,1414.583,3190,3038,152,57,339.7276153,3869,101233,3469,29.18,16277,578,28.16
87,"""dense""","""0.8""",,TRUE,500,7,0.792639607,1,0.086418508,103659,207.32,FALSE,TRUE,65.56,1412.952,3202,3041,161,54,338.3821933,3851,93568,3471,26.96,13910,562,24.75
88,"""dense""","""0.8""",,TRUE,500,8,0.779860625,1,0.090375156,108405,216.81,FALSE,TRUE,63.644,1442.517,3250,3098,152,57,319.3593387,4082,98685,3676,26.85,14533,552,26.33
89,"""dense""","""0.8""",,TRUE,500,9,0.803638878,1,0.076653606,91946,183.89,FALSE,TRUE,70.425,1455.987,3190,3040,150,53,290.1310711,3766,82845,3330,24.88,12759,528,24.16
90,"""dense""","""0.8""",,TRUE,500,10,0.817737746,1,0.075053772,90027,180.05,FALSE,TRUE,62.439,1547.322,3116,2980,136,48,320.8137001,3552,80628,3150,25.6,11623,494,23.53
91,"""dense""","""0.8""",,TRUE,3000,1,0.795811559,1,0.055845908,401923,133.97,TRUE,FALSE,187.911,2104.122,3170,2671,499,240,511.2290112,14548,351689,12522,28.09,111306,4068,27.36
