BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles
48,"""sparse""","""0.6""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.602876312,1,5.819,0.134158483,160923.1,FALSE,TRUE,51.28,1454.501,113,94,8,760.2193553
49,"""sparse""","""0.6""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.62673431,2,5.819,0.309093222,370757.32,FALSE,TRUE,65.314,1524.273,90,72,8,729.6720954
50,"""sparse""","""0.6""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.610126583,4,5.819,0.328859742,394467.26,FALSE,TRUE,112.622,1496.716,101,83,8,659.5614102
51,"""sparse""","""0.6""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.600848521,3,5.819,0.111524523,802641.99,TRUE,FALSE,210.356,1974.389,100,59,20,824.2835862
52,"""sparse""","""0.6""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.590020181,3,5.819,0.054770454,394182.96,TRUE,FALSE,210.604,2041.962,101,61,19,984.3817997
53,"""sparse""","""0.6""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.628132141,7,5.819,0.037194778,267690.82,TRUE,FALSE,210.118,2033.904,107,69,18,884.8369822
54,"""sparse""","""0.6""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.577813469,3,5.819,0.032373101,232989.21,TRUE,FALSE,210.721,1934.245,99,71,15,1028.710092
55,"""sparse""","""0.6""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.62015201,1,5.819,0.140777471,1013175.46,TRUE,FALSE,195.691,1972.271,99,51,20,902.1462627
56,"""sparse""","""0.6""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.619789493,1,5.819,0.051762953,372537.97,TRUE,FALSE,194.411,2034.692,104,65,13,931.4142236
57,"""sparse""","""0.6""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.607655599,5,5.819,0.049802672,358429.83,TRUE,FALSE,202.924,1936.852,105,69,19,989.1800637
58,"""sparse""","""0.6""",TRUE,3000,8,-750,750,-750,750,2400,3000,TRUE,0.602876312,1,5.819,0.111076806,799419.77,TRUE,FALSE,202.671,2042.213,113,61,26,980.0059899
59,"""sparse""","""0.6""",TRUE,3000,9,-750,750,-750,750,2400,3000,TRUE,0.62673431,2,5.819,0.087653496,630842.21,TRUE,FALSE,185.569,1996.437,90,55,19,1004.407443
60,"""sparse""","""0.6""",TRUE,3000,10,-750,750,-750,750,2400,3000,TRUE,0.610126583,4,5.819,0.078699539,566400.58,TRUE,FALSE,189.895,2036.43,101,56,18,780.3399563
61,"""sparse""","""0.6""",FALSE,500,1,-750,750,-750,750,2400,500,FALSE,0.600848521,3,5.819,0.105878591,127001.37,TRUE,FALSE,185.204,1955.654,100,87,4,968.3025097
62,"""sparse""","""0.6""",FALSE,500,2,-750,750,-750,750,2400,500,FALSE,0.590020181,3,5.819,0.059247378,71067.23,TRUE,FALSE,200.862,2020.877,101,87,4,995.0873249
63,"""sparse""","""0.6""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.628132141,7,5.819,0.052238741,62660.37,TRUE,FALSE,183.545,1988.279,107,94,2,701.8201476
64,"""sparse""","""0.6""",FALSE,500,4,-750,750,-750,750,2400,500,FALSE,0.577813469,3,5.819,0.01092501,13104.55,TRUE,FALSE,191.547,2027.47,99,90,0,799.8322187
65,"""sparse""","""0.6""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.62015201,1,5.819,0.444170288,532782.26,TRUE,FALSE,191.986,1945.975,99,85,5,613.6453218
66,"""sparse""","""0.6""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.619789493,1,5.819,0.044615281,53516.03,TRUE,FALSE,185.202,2005.815,104,95,5,727.8402292
67,"""sparse""","""0.6""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.607655599,5,5.819,0.069863376,83801.12,TRUE,FALSE,189.487,1987.766,105,94,4,844.7321989
68,"""sparse""","""0.6""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.602876312,1,5.819,0.092894748,111427.25,TRUE,FALSE,183.412,2019.148,113,94,5,1021.427807
69,"""sparse""","""0.6""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.62673431,2,5.819,0.100005411,119956.49,TRUE,FALSE,192.888,1945.477,90,73,3,772.28062
70,"""sparse""","""0.6""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.610126583,4,5.819,0.277244102,332554.3,TRUE,FALSE,186.337,2000.713,101,84,3,674.2436956
71,"""sparse""","""0.6""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.600848521,3,5.819,0.043594131,313746.96,TRUE,FALSE,189.541,1989.721,100,64,7,915.317554
72,"""sparse""","""0.6""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.590020181,3,5.819,0.027904717,200830.25,TRUE,FALSE,183.824,2031.617,101,66,11,927.1975017
73,"""sparse""","""0.6""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.628132141,7,5.819,0.026542882,191029.12,TRUE,FALSE,192.366,1948.335,107,80,12,878.1074502
74,"""sparse""","""0.6""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.577813469,3,5.819,0.018154314,130656.6,TRUE,FALSE,185.252,2010.462,99,73,5,907.3827822
75,"""sparse""","""0.6""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.62015201,1,5.819,0.112432236,809174.8,TRUE,FALSE,189.194,1990.222,99,67,14,979.4739091
76,"""sparse""","""0.6""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.619789493,1,5.819,0.028718827,206689.4,TRUE,FALSE,184.528,2026.763,104,78,9,745.0167783
77,"""sparse""","""0.6""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.607655599,5,5.819,0.030339855,218355.94,TRUE,FALSE,193.852,1951.666,105,75,11,1003.330527
78,"""sparse""","""0.6""",FALSE,3000,8,-750,750,-750,750,2400,3000,FALSE,0.602876312,1,5.819,0.045791767,329563.35,TRUE,FALSE,184.309,1968.05,113,74,11,852.7971499
79,"""sparse""","""0.6""",FALSE,3000,9,-750,750,-750,750,2400,3000,FALSE,0.62673431,2,5.819,0.040540176,291767.65,TRUE,FALSE,188.32,1919.294,90,63,12,1027.762574
80,"""sparse""","""0.6""",FALSE,3000,10,-750,750,-750,750,2400,3000,FALSE,0.610126583,4,5.819,0.069469104,499969.14,TRUE,FALSE,182.501,1914.403,101,69,14,934.6810381
81,"""sparse""","""0.8""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.810980034,3,5.819,0.107786503,129289.91,FALSE,TRUE,69.106,1397.218,108,86,8,813.728199
82,"""sparse""","""0.8""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.819079425,8,5.819,0.06202381,74397.56,FALSE,TRUE,149.493,1516.698,109,86,7,757.552348
83,"""sparse""","""0.8""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.820529612,1,5.819,0.303051947,363510.81,FALSE,TRUE,36.635,1395.968,107,83,8,1016.29319
84,"""sparse""","""0.8""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.78498256,2,5.819,0.15374401,184415.94,FALSE,TRUE,53.879,1381.919,107,87,12,757.4134936
85,"""sparse""","""0.8""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.80727733,1,5.819,0.112452614,134886.91,FALSE,TRUE,41.487,1431.393,109,88,11,828.3455733
86,"""sparse""","""0.8""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.777859449,3,5.819,0.109061084,130818.77,FALSE,TRUE,68.74,1439.107,113,98,8,788.2957544
87,"""sparse""","""0.8""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.808618682,5,5.819,0.11860732,142269.48,FALSE,TRUE,103.522,1463.388,98,75,6,820.1946117
88,"""sparse""","""0.8""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.807688176,3,5.819,0.355201551,426064.26,FALSE,TRUE,70.108,1437.481,97,79,10,648.1526582
89,"""sparse""","""0.8""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.780599277,12,5.819,0.030461025,36538,FALSE,TRUE,278.421,1737.915,92,79,5,708.8904284
90,"""sparse""","""0.8""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.820285833,2,5.819,0.225382868,270346.75,FALSE,TRUE,53.071,1525.475,106,80,16,803.923383
91,"""sparse""","""0.8""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.810980034,3,5.819,0.043748301,314856.52,TRUE,FALSE,196.876,2000.371,108,70,19,864.4680445
92,"""sparse""","""0.8""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.819079425,8,5.819,0.043041458,309769.37,TRUE,FALSE,184.759,1954.851,109,62,23,848.7777003
93,"""sparse""","""0.8""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.820529612,1,5.819,0.086240803,620675.06,TRUE,FALSE,183.898,2028.046,107,53,27,859.4628509
94,"""sparse""","""0.8""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.78498256,2,5.819,0.046813904,336919.67,TRUE,FALSE,185.274,2021.018,107,66,19,859.4059463
95,"""sparse""","""0.8""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.80727733,1,5.819,0.039691652,285660.82,TRUE,FALSE,198.481,1999.727,109,66,21,867.4333198
96,"""sparse""","""0.8""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.777859449,3,5.819,0.098160582,706461.71,TRUE,FALSE,186.307,1959.446,113,65,29,888.6996151
97,"""sparse""","""0.8""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.808618682,5,5.819,0.042390652,305085.52,TRUE,FALSE,190.527,2030.75,98,51,18,823.2511155
98,"""sparse""","""0.8""",TRUE,3000,8,-750,750,-750,750,2400,3000,TRUE,0.807688176,3,5.819,0.08474306,609895.8,TRUE,FALSE,184.619,2011.514,97,54,20,863.0642246
