BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2016 16:41:18:117 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,J-per-microL,nectar-influx,hive-collected,collected nectar (mL),,imported,exported,timer-post-setup,timer,resources,untouched resources,depleted resources,max [dist-hive-max] of turtles
49,"""dense""","""0.6""",TRUE,500,9,-750,750,-750,750,2400,0.612045816,1,5.819,2.02923233,2434064.18,418295.96,83.66,FALSE,TRUE,44.432,1464.119,3149,2981,63,350.2573313
50,"""dense""","""0.6""",TRUE,500,10,-750,750,-750,750,2400,0.580671658,1,5.819,3.50920436,4209290.63,723370.10,144.67,FALSE,TRUE,45.308,1460.226,3318,3144,61,429.6798635
51,"""dense""","""0.6""",TRUE,3000,1,-750,750,-750,750,2400,0.594937163,1,5.819,2.606357657,3126326.01,537261.73,17.91,TRUE,FALSE,255.355,1833.127,3259,3091,66,315.2394049
52,"""dense""","""0.6""",TRUE,3000,2,-750,750,-750,750,2400,0.613878198,1,5.819,2.614872363,3136539.4,539016.91,17.97,TRUE,FALSE,179.919,1847.987,3186,2998,66,361.3752121
53,"""dense""","""0.6""",TRUE,3000,3,-750,750,-750,750,2400,0.604229844,1,5.819,1.756960133,2107473.68,362171.11,12.07,TRUE,FALSE,174.798,1785.993,3315,3124,75,342.7116314
54,"""dense""","""0.6""",TRUE,3000,4,-750,750,-750,750,2400,0.617258128,1,5.819,2.071805461,2485130.65,427071.77,14.24,TRUE,FALSE,167.091,1753.635,3001,2832,56,371.6046719
55,"""dense""","""0.6""",TRUE,3000,5,-750,750,-750,750,2400,0.606457683,1,5.819,2.071215531,2484423.03,426950.17,14.23,TRUE,FALSE,175.574,1892.859,3250,3090,55,387.490645
56,"""dense""","""0.6""",TRUE,3000,6,-750,750,-750,750,2400,0.581764088,1,5.819,1.681963985,2017515.8,346711.77,11.56,TRUE,FALSE,176.889,1837.777,3207,3019,64,456.9593945
57,"""dense""","""0.6""",TRUE,3000,7,-750,750,-750,750,2400,0.597584464,1,5.819,1.2414007,1489060.14,255896.23,8.53,TRUE,FALSE,212.155,1792.485,3214,3043,64,448.8411721
58,"""dense""","""0.6""",TRUE,3000,8,-750,750,-750,750,2400,0.572420355,1,5.819,4.193878058,5030556.73,864505.37,28.82,TRUE,FALSE,173.465,1849.775,3250,3067,64,364.9719751
59,"""dense""","""0.6""",TRUE,3000,9,-750,750,-750,750,2400,0.612045816,1,5.819,2.02923233,2434064.18,418295.96,13.94,TRUE,FALSE,175.165,1844.133,3149,2981,63,350.2573313
60,"""dense""","""0.6""",TRUE,3000,10,-750,750,-750,750,2400,0.580671658,1,5.819,3.50920436,4209290.63,723370.10,24.11,TRUE,FALSE,170.077,1796.581,3318,3144,61,429.6798635
61,"""dense""","""0.6""",FALSE,500,1,-750,750,-750,750,2400,0.594937163,1,5.819,2.606357657,3126326.01,537261.73,107.45,TRUE,FALSE,175.841,1893.46,3259,3091,66,315.2394049
