BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,,dance-quality,dance-quantity,,random-quality,random-quantity,
31,"""dense""","""0.4""",FALSE,3000,1,TRUE,-750,750,-750,750,2400,0.390051339,1,0.199273178,1434169.06,TRUE,FALSE,220.305,2135.51,3323,2988,335,152,406.7566721,9876,145.2176043,0,0,#DIV/0!,276892.79,1911,144.8941863
32,"""dense""","""0.4""",FALSE,3000,2,TRUE,-750,750,-750,750,2400,0.404141609,1,0.207635927,1494355.77,TRUE,FALSE,214.547,2146.586,3180,2851,329,132,486.642121,9209,162.2712314,0,0,#DIV/0!,286969.94,1711,167.7205961
33,"""dense""","""0.4""",FALSE,3000,3,TRUE,-750,750,-750,750,2400,0.3976774,1,0.192981745,1388889.62,TRUE,FALSE,223.152,2142.417,3139,2833,306,138,517.1072469,9178,151.3281347,0,0,#DIV/0!,272533.55,1859,146.6022324
34,"""dense""","""0.4""",FALSE,3000,4,TRUE,-750,750,-750,750,2400,0.408533056,1,0.185256048,1333287.78,TRUE,FALSE,217.163,2148.886,3173,2857,316,143,479.6997694,9249,144.1548038,0,0,#DIV/0!,254616.87,1823,139.6691552
35,"""dense""","""0.4""",FALSE,3000,5,TRUE,-750,750,-750,750,2400,0.416171535,1,0.197960611,1424722.52,TRUE,FALSE,220.582,2133.934,3190,2865,325,146,510.884058,9591,148.5478595,0,0,#DIV/0!,295937.92,1940,152.5453196
36,"""dense""","""0.4""",FALSE,3000,6,TRUE,-750,750,-750,750,2400,0.421280332,1,0.183041408,1317349.01,TRUE,FALSE,215.608,2154.767,3226,2911,315,146,424.2596872,9448,139.431521,0,0,#DIV/0!,262181.41,1883,139.2360117
37,"""dense""","""0.4""",FALSE,3000,7,TRUE,-750,750,-750,750,2400,0.394800892,1,0.175160128,1260627.44,TRUE,FALSE,217.336,2138.452,3140,2841,299,123,526.1368643,8425,149.6293697,0,0,#DIV/0!,233370.54,1589,146.8662933
38,"""dense""","""0.4""",FALSE,3000,8,TRUE,-750,750,-750,750,2400,0.422445432,1,0.188436783,1356179.53,TRUE,FALSE,213.397,2127.609,3166,2839,327,155,525.906717,10037,135.1180163,0,0,#DIV/0!,286429.02,2121,135.0443281
39,"""dense""","""0.4""",FALSE,3000,9,TRUE,-750,750,-750,750,2400,0.414376727,1,0.195765586,1408924.92,TRUE,FALSE,218.838,2063.618,3168,2867,301,147,497.7569688,9120,154.4873816,0,0,#DIV/0!,317833.54,2011,158.0475087
40,"""dense""","""0.4""",FALSE,3000,10,TRUE,-750,750,-750,750,2400,0.394259285,1,0.176763593,1272167.58,TRUE,FALSE,213.064,2059.458,3188,2889,299,132,528.6984017,8970,141.8247023,0,0,#DIV/0!,244742.56,1731,141.3879607
41,"""dense""","""0.6""",TRUE,500,1,TRUE,-750,750,-750,750,2400,0.621021871,1,0.528193155,633567.69,FALSE,TRUE,49.295,1449.462,3110,2955,155,52,351.0911563,3845,164.7770325,561091.93,3388,165.6115496,86144.78,531,162.2312241
42,"""dense""","""0.6""",TRUE,500,2,TRUE,-750,750,-750,750,2400,0.628568777,1,0.442294314,530532.03,FALSE,TRUE,48.783,1459.322,3140,2999,141,48,327.3790421,3535,150.0797822,463345.54,3044,152.2160118,81937.59,527,155.4792979
43,"""dense""","""0.6""",TRUE,500,3,TRUE,-750,750,-750,750,2400,0.594911406,1,0.359386453,431084.05,FALSE,TRUE,55.429,1467.556,3154,3026,128,39,404.3590221,3020,142.7430629,374953.91,2592,144.6581443,56432.7,400,141.08175
44,"""dense""","""0.6""",TRUE,500,4,TRUE,-750,750,-750,750,2400,0.573485052,3,0.408865519,490434.19,FALSE,TRUE,105.053,1524.887,3263,3124,139,47,360.7536478,3362,145.8757258,424766.31,2879,147.5395311,74023.99,508,145.7165157
45,"""dense""","""0.6""",TRUE,500,5,TRUE,-750,750,-750,750,2400,0.594215145,1,0.391477832,469577.66,FALSE,TRUE,48.649,1462.622,3260,3139,121,44,302.7054436,3241,144.8866584,407296.56,2796,145.6711588,54925.78,421,130.4650356
46,"""dense""","""0.6""",TRUE,500,6,TRUE,-750,750,-750,750,2400,0.586979065,1,0.501240859,601238.41,FALSE,TRUE,47.902,1450.75,3193,3045,148,54,371.9811823,3990,150.6863183,526824.79,3483,151.2560408,85731.55,571,150.1428196
47,"""dense""","""0.6""",TRUE,500,7,TRUE,-750,750,-750,750,2400,0.614592828,1,0.421709479,505840.52,FALSE,TRUE,55.345,1462.366,3185,3049,136,47,301.2516468,3415,148.1231391,442902.19,2947,150.289172,64084.81,490,130.7853265
48,"""dense""","""0.6""",TRUE,500,8,TRUE,-750,750,-750,750,2400,0.612906381,1,0.485609721,582488.86,FALSE,TRUE,48.728,1494.642,3188,3031,157,51,382.0274859,3780,154.097582,515296.7,3310,155.6787613,82245.88,545,150.9098716
49,"""dense""","""0.6""",TRUE,500,9,TRUE,-750,750,-750,750,2400,0.571748898,1,0.538466653,645890.75,FALSE,TRUE,49.6,1518.251,3279,3116,163,55,344.654027,3823,168.948666,576301.49,3392,169.9002034,88023.98,530,166.0829811
50,"""dense""","""0.6""",TRUE,500,10,TRUE,-750,750,-750,750,2400,0.605057724,1,0.541355098,649355.44,FALSE,TRUE,48.677,1520.416,3225,3063,162,51,312.8068846,4125,157.4195006,575000.1,3645,157.7503704,88134.7,559,157.6649374
51,"""dense""","""0.6""",TRUE,3000,1,TRUE,-750,750,-750,750,2400,0.621021871,1,0.29179111,2100020.62,TRUE,FALSE,203.308,2173.316,3110,2653,457,218,514.4887904,13619,154.1978574,1775109.48,11393,155.8070289,553348.71,3659,151.2294917
52,"""dense""","""0.6""",TRUE,3000,2,TRUE,-750,750,-750,750,2400,0.628568777,1,0.283152044,2037845.26,TRUE,FALSE,203.831,2187.104,3140,2664,476,220,478.1550289,13673,149.0415607,1715053.55,11341,151.2259545,537996.49,3688,145.8775732
53,"""dense""","""0.6""",TRUE,3000,3,TRUE,-750,750,-750,750,2400,0.594911406,1,0.253834195,1826844.7,TRUE,FALSE,221.88,2189.608,3154,2703,451,212,522.6339845,13152,138.9024255,1522393.95,10881,139.9130549,452637.81,3384,133.7582181
