BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,
03/22/2016 15:40:27:356 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,depleted resources,max [dist-hive-max] of turtles
36,"""dense""","""0.4""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.386587038,1,5.819,11.95086414,8.60E+07,14780953.64,4926.984547,TRUE,FALSE,223.579,2088.059,3179,2871,308,142,464.926876
37,"""dense""","""0.4""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.396434925,1,5.819,3.58219349,2.58E+07,4430494.338,1476.831446,TRUE,FALSE,235.917,2065.534,3261,2951,310,134,463.7857665
38,"""dense""","""0.4""",FALSE,3000,8,-750,750,-750,750,2400,3000,FALSE,0.410069612,1,5.819,0.955247842,6874918.72,1181460.512,393.8201707,TRUE,FALSE,236.055,2077.748,3260,2958,302,125,558.0040142
39,"""dense""","""0.4""",FALSE,3000,9,-750,750,-750,750,2400,3000,FALSE,0.407670499,1,5.819,2.045553585,1.47E+07,2529962.047,843.3206823,TRUE,FALSE,182.751,1970.132,3217,2910,307,140,535.3027181
40,"""dense""","""0.4""",FALSE,3000,10,-750,750,-750,750,2400,3000,FALSE,0.41870442,1,5.819,3.524221969,2.54E+07,4358794.554,1452.931518,TRUE,FALSE,222.032,1960.266,3123,2831,292,127,628.4774842
41,"""dense""","""0.6""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.60401462,1,5.819,3.89207554,4668544.61,802293.2824,1604.586565,FALSE,TRUE,44.704,1414.378,3214,3039,175,72,367.8244516
42,"""dense""","""0.6""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.621047413,1,5.819,3.510641251,4211014.18,723666.2966,1447.332593,FALSE,TRUE,43.789,1409.324,3230,3045,185,70,477.9634836
43,"""dense""","""0.6""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.574431336,2,5.819,1.860455048,2231615.83,383505.0404,767.0100808,FALSE,TRUE,71.652,1433.065,3300,3138,162,65,355.7003459
44,"""dense""","""0.6""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.608109928,1,5.819,5.460069162,6549352.96,1125511.765,2251.02353,FALSE,TRUE,49.754,1443.958,3166,2989,177,74,445.6829066
45,"""dense""","""0.6""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.605366103,2,5.819,2.791093831,3347917.05,575342.3355,1150.684671,FALSE,TRUE,69,1442.316,3224,3053,171,66,357.1694276
