BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
resource_nums,,,,,,,,
02/17/2016 11:01:19:818 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],resource_density,patchiness,c1_mult,c2_mult,calc_R,[step],num-patches-r,count patches with [resource?]
254,"""sparse""",1,81,1,FALSE,1,44.532888,50
255,"""sparse""",1,81,1,FALSE,1,44.532888,41
256,"""sparse""",1,81,1,FALSE,1,44.532888,34
257,"""sparse""",1,81,1,FALSE,1,44.532888,50
258,"""sparse""",1,81,1,FALSE,1,44.532888,49
259,"""sparse""",1,81,1,FALSE,1,44.532888,50
260,"""sparse""",1,81,1,FALSE,1,44.532888,55
261,"""sparse""",1,81,41,FALSE,1,44.532888,47
262,"""sparse""",1,81,41,FALSE,1,44.532888,46
263,"""sparse""",1,81,41,FALSE,1,44.532888,51
264,"""sparse""",1,81,41,FALSE,1,44.532888,38
265,"""sparse""",1,81,41,FALSE,1,44.532888,38
266,"""sparse""",1,81,41,FALSE,1,44.532888,41
267,"""sparse""",1,81,41,FALSE,1,44.532888,37
268,"""sparse""",1,81,41,FALSE,1,44.532888,44
269,"""sparse""",1,81,41,FALSE,1,44.532888,57
270,"""sparse""",1,81,41,FALSE,1,44.532888,39
271,"""sparse""",1,81,41,FALSE,1,44.532888,40
272,"""sparse""",1,81,41,FALSE,1,44.532888,43
273,"""sparse""",1,81,41,FALSE,1,44.532888,63
274,"""sparse""",1,81,41,FALSE,1,44.532888,32
275,"""sparse""",1,81,41,FALSE,1,44.532888,45
276,"""sparse""",1,81,41,FALSE,1,44.532888,45
277,"""sparse""",1,81,41,FALSE,1,44.532888,45
278,"""sparse""",1,81,41,FALSE,1,44.532888,46
279,"""sparse""",1,81,41,FALSE,1,44.532888,52
280,"""sparse""",1,81,41,FALSE,1,44.532888,39
281,"""sparse""",1,81,81,FALSE,1,44.532888,40
282,"""sparse""",1,81,81,FALSE,1,44.532888,33
283,"""sparse""",1,81,81,FALSE,1,44.532888,36
284,"""sparse""",1,81,81,FALSE,1,44.532888,54
285,"""sparse""",1,81,81,FALSE,1,44.532888,43
286,"""sparse""",1,81,81,FALSE,1,44.532888,37
287,"""sparse""",1,81,81,FALSE,1,44.532888,37
288,"""sparse""",1,81,81,FALSE,1,44.532888,46
289,"""sparse""",1,81,81,FALSE,1,44.532888,50
290,"""sparse""",1,81,81,FALSE,1,44.532888,40
291,"""sparse""",1,81,81,FALSE,1,44.532888,56
292,"""sparse""",1,81,81,FALSE,1,44.532888,45
293,"""sparse""",1,81,81,FALSE,1,44.532888,41
294,"""sparse""",1,81,81,FALSE,1,44.532888,38
295,"""sparse""",1,81,81,FALSE,1,44.532888,41
296,"""sparse""",1,81,81,FALSE,1,44.532888,35
297,"""sparse""",1,81,81,FALSE,1,44.532888,34
298,"""sparse""",1,81,81,FALSE,1,44.532888,41
299,"""sparse""",1,81,81,FALSE,1,44.532888,51
300,"""sparse""",1,81,81,FALSE,1,44.532888,51
301,"""sparse""",1,81,121,FALSE,1,44.532888,43
302,"""sparse""",1,81,121,FALSE,1,44.532888,36
303,"""sparse""",1,81,121,FALSE,1,44.532888,51
304,"""sparse""",1,81,121,FALSE,1,44.532888,46
305,"""sparse""",1,81,121,FALSE,1,44.532888,43
306,"""sparse""",1,81,121,FALSE,1,44.532888,50
307,"""sparse""",1,81,121,FALSE,1,44.532888,53
308,"""sparse""",1,81,121,FALSE,1,44.532888,41
309,"""sparse""",1,81,121,FALSE,1,44.532888,52
310,"""sparse""",1,81,121,FALSE,1,44.532888,50
311,"""sparse""",1,81,121,FALSE,1,44.532888,50
312,"""sparse""",1,81,121,FALSE,1,44.532888,40
313,"""sparse""",1,81,121,FALSE,1,44.532888,33
314,"""sparse""",1,81,121,FALSE,1,44.532888,43
315,"""sparse""",1,81,121,FALSE,1,44.532888,36
316,"""sparse""",1,81,121,FALSE,1,44.532888,46
317,"""sparse""",1,81,121,FALSE,1,44.532888,31
318,"""sparse""",1,81,121,FALSE,1,44.532888,45
319,"""sparse""",1,81,121,FALSE,1,44.532888,35
