BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/19/2016 15:36:54:726 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
115,"""extra_sparse""","""0.8""",FALSE,3000,5,0.772248768,19,0.003729022,26837.77,TRUE,FALSE,252.824,2311.141,42,27,15,1,1048.884041,201,0,0,3951.18,30
116,"""extra_sparse""","""0.8""",FALSE,3000,6,0.781855324,3,0.005407453,38917.44,TRUE,FALSE,249.896,2289.663,47,28,19,4,855.8773116,333,0,0,6744.25,52
117,"""extra_sparse""","""0.8""",FALSE,3000,7,0.802171781,4,0.007713371,55513.13,TRUE,FALSE,254.382,2268.351,56,37,19,6,876.0780393,465,0,0,6918.77,65
118,"""extra_sparse""","""0.8""",FALSE,3000,8,0.819676448,4,0.010261082,73849.01,TRUE,FALSE,244.389,2312.097,54,35,19,10,859.8783796,593,0,0,11795.15,93
119,"""extra_sparse""","""0.8""",FALSE,3000,9,0.81713924,5,0.011585526,83381.03,TRUE,FALSE,244.818,2218.647,46,28,18,8,920.879084,607,0,0,11475.19,87
120,"""extra_sparse""","""0.8""",FALSE,3000,10,0.796606483,2,0.007474874,53796.67,TRUE,FALSE,258.861,2198.71,50,35,15,4,967.2881493,328,0,0,7564.71,43
121,"""extra_sparse""","""1.0""",TRUE,500,1,1.010367732,1,0.036364277,43618.95,FALSE,TRUE,29.091,1440.719,52,44,8,3,847.0732364,246,35140.7,196,3293.55,18
122,"""extra_sparse""","""1.0""",TRUE,500,2,0.982436367,5,0.039663501,47576.37,FALSE,TRUE,44.992,1448.323,54,47,7,3,776.5241118,213,40750.67,180,3101.55,15
123,"""extra_sparse""","""1.0""",TRUE,500,3,1.021233869,4,0.015213314,18248.37,FALSE,TRUE,43.592,1529.713,47,40,7,3,846.1202798,169,15996.4,144,1867.88,17
124,"""extra_sparse""","""1.0""",TRUE,500,4,1.021206431,1,0.034521542,41408.59,FALSE,TRUE,29.413,1423.583,56,46,10,4,749.7408595,276,34623.52,224,5696.88,42
125,"""extra_sparse""","""1.0""",TRUE,500,5,1.025808258,5,0.0251,30107.45,FALSE,TRUE,44.773,1458.569,51,43,8,4,788.0940312,232,27087.41,203,2734.93,21
126,"""extra_sparse""","""1.0""",TRUE,500,6,0.990432662,1,0.043083618,51678.8,FALSE,TRUE,30.417,1411.378,49,35,14,4,772.366691,341,44725.03,282,5656.09,36
127,"""extra_sparse""","""1.0""",TRUE,500,7,1.00206339,5,0.019584444,23491.54,FALSE,TRUE,49.336,1517.419,47,40,7,2,646.4185886,159,18580.27,122,1734.08,15
128,"""extra_sparse""","""1.0""",TRUE,500,8,0.977811299,1,0.036752288,44084.37,FALSE,TRUE,28.096,1485.84,57,45,12,3,844.5915279,303,37171.48,242,4015.07,28
