BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
72,"""dense""","""0.6""",FALSE,3000,2,0.628568777,1,0.195398776,1406284.99,TRUE,FALSE,202.05,2169.794,3140,2824,316,158,499.1552865,9777,0,0,282611.74,1988
73,"""dense""","""0.6""",FALSE,3000,3,0.594911406,1,0.163087421,1173740.17,TRUE,FALSE,219.593,2162.265,3154,2850,304,130,489.00409,8673,0,0,220714.91,1632
74,"""dense""","""0.6""",FALSE,3000,4,0.573485052,3,0.180910677,1302014.14,TRUE,FALSE,216.504,2159.808,3263,2955,308,139,500.8013578,9223,0,0,256031.81,1790
75,"""dense""","""0.6""",FALSE,3000,5,0.594215145,1,0.174354417,1254828.74,TRUE,FALSE,206.035,2158.213,3260,2946,314,135,440.7086223,9271,0,0,240878.17,1793
76,"""dense""","""0.6""",FALSE,3000,6,0.586979065,1,0.19007151,1367944.66,TRUE,FALSE,203.398,2173.423,3193,2859,334,159,471.8149283,10060,0,0,271439.3,2005
77,"""dense""","""0.6""",FALSE,3000,7,0.614592828,1,0.178130399,1282004.48,TRUE,FALSE,228.031,2159.571,3185,2867,318,141,458.4557553,9593,0,0,240499.87,1843
78,"""dense""","""0.6""",FALSE,3000,8,0.612906381,1,0.218651752,1573636.66,TRUE,FALSE,223.11,2142.676,3188,2846,342,156,418.3758815,10281,0,0,293057.43,1966
79,"""dense""","""0.6""",FALSE,3000,9,0.571748898,1,0.196939854,1417376.13,TRUE,FALSE,201.6,2071.846,3279,2969,310,137,426.5363993,9243,0,0,276978.68,1817
80,"""dense""","""0.6""",FALSE,3000,10,0.605057724,1,0.214699893,1545195.13,TRUE,FALSE,205.455,2062.158,3225,2893,332,159,499.8079631,10030,0,0,303060.52,1981
81,"""dense""","""0.8""",TRUE,500,1,0.785919398,1,0.42603694,511031.31,FALSE,TRUE,63.132,1472.363,3152,2995,157,45,330.7113545,3460,448913.36,3025,59627.43,450
82,"""dense""","""0.8""",TRUE,500,2,0.813379888,1,0.51882782,622333.97,FALSE,TRUE,64.131,1472.087,3154,3002,152,58,371.1401353,4013,552674.31,3542,85114.89,578
84,"""dense""","""0.8""",TRUE,500,4,0.804121989,1,0.463622518,556115.21,FALSE,TRUE,64.679,1427.884,3205,3051,154,53,407.8662243,3788,488259.95,3298,68914.36,504
85,"""dense""","""0.8""",TRUE,500,5,0.795333186,1,0.501769454,601872.46,FALSE,TRUE,64.194,1412.982,3279,3107,172,57,323.4712373,3990,534831.55,3523,80942.43,566
86,"""dense""","""0.8""",TRUE,500,6,0.781258401,1,0.360466586,432379.67,FALSE,TRUE,63.66,1404.501,3223,3088,135,50,347.5307018,3667,375534.02,3142,59045.21,523
87,"""dense""","""0.8""",TRUE,500,7,0.822042221,1,0.459784352,551511.33,FALSE,TRUE,58.452,1394.292,3180,3029,151,49,354.2033314,3697,486506.8,3238,61501.42,447
88,"""dense""","""0.8""",TRUE,500,8,0.795244741,1,0.582182301,698327.67,FALSE,TRUE,59.154,1385.22,3238,3061,177,62,365.0588994,4507,625153.66,4025,90049.32,628
89,"""dense""","""0.8""",TRUE,500,9,0.776844074,1,0.401344268,481412.45,FALSE,TRUE,57.959,1381.632,3205,3064,141,43,409.6056175,3222,417362.58,2771,68693.33,480
90,"""dense""","""0.8""",TRUE,500,10,0.806040562,1,0.501479817,601525.04,FALSE,TRUE,63.625,1464.677,3201,3042,159,59,388.1249799,3980,534245.37,3512,76223.52,549
91,"""dense""","""0.8""",TRUE,3000,1,0.785919398,1,0.268633154,1933352.81,TRUE,FALSE,210.292,1973.378,3152,2694,458,224,490.7233174,13668,1624061.12,11360,495645.21,3657
